station_id,name,latitude,longitude,capacity,num_bikes_available,num_docks_available,is_renting
372c592e-09d8-400c-9595-2aa3510f39b0,Central Ave & Himrod St,40.69676,-73.92302,25,4,1,1
633fbc4c-7617-47ba-a393-aad7a8d26a3e,Van Brunt St & Van Dyke St,40.6758329439129,-74.01472628116608,24,5,17,1
cb9840a3-4ae2-420d-865c-9ac45e2f5485,St Ann's Ave & Bruckner Blvd,40.803399,-73.919763,17,2,12,1
1937777808143497236,Columbus Ave & W 59 St,40.76931,-73.98464,44,1,36,1
ceb179f3-89c3-4c3e-8a0a-3415406a9463,Amsterdam Ave & W 180 St,40.847396,-73.931205,23,2,18,1
66db9c2e-0aca-11e7-82f6-3863bb44ef7c,Ave D & E 12 St,40.72580614,-73.97422494,41,26,14,1
66dce9b5-0aca-11e7-82f6-3863bb44ef7c,Division Ave & Marcy Ave,40.70708701,-73.95796783,33,26,6,1
ed279ef2-52ee-4ff2-9a52-edd8137ea034,44 St & Greenpoint Ave,40.741119944681465,-73.92103672027588,27,3,21,1
1986707977001495180,21 St & 20 Ave,40.78393602019729,-73.91273114065842,19,15,4,1
c2d549f8-f54c-4a0d-9ecd-6e6f79118279,Cooper Ave & 65 Pl,40.69953,-73.88873,23,13,6,1
77e31650-e86a-4b06-b2de-b92df2a7a7f5,34 Ave & Vernon Blvd,40.76535380385866,-73.93986314535141,30,26,0,1
8d650b03-920d-4d44-a48f-8d9a1a0ba264,W 190 St & Broadway,40.85648733523576,-73.93296986818314,21,10,6,1
640a9a95-194f-42f5-8d88-1df67129f388,E 171 St & 3 Ave,40.837119,-73.902185,24,9,10,1
62f8f806-bd04-4282-9c5d-ad4293644e3c,E Tremont Ave & E 176 St,40.847798,-73.901883,21,1,17,1
54df610f-0e47-4958-98ca-37bb1b1c4dca,Convent Ave & W 151 St,40.82831,-73.942924,24,0,21,1
66db3687-0aca-11e7-82f6-3863bb44ef7c,Columbia Heights & Cranberry St,40.70037867,-73.99548059,37,6,25,1
ec42fb3a-af54-46aa-a8b3-b17d72ed4475,34 Ave & 13 St,40.7638753,-73.9364848,19,15,2,1
66dd4d70-0aca-11e7-82f6-3863bb44ef7c,Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449,41,38,1,1
3134c2d4-b090-4eb8-ab44-6f9622098f72,W 148 St & Amsterdam Ave,40.827075,-73.945909,23,8,14,1
1835246937517543544,24 Ave & 92 St,40.76589,-73.87789,20,9,10,1
66dd1f44-0aca-11e7-82f6-3863bb44ef7c,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,27,26,0,1
66dd26f9-0aca-11e7-82f6-3863bb44ef7c,9 St & 44 Rd,40.74966,-73.9521,34,33,0,1
191d5d54-de64-4312-99c7-eee141efa4ef,Valentine Ave & E 183 St,40.856987,-73.898237,23,5,18,1
1828966626550010820,77 St & 31 Ave,40.75886,-73.89081,20,13,4,1
19b61564-7629-41b4-80c8-1756135a5442,Cauldwell Ave & E 158 St,40.81989,-73.908351,19,1,16,1
