from_utc,to_utc,forecast_gco2_kwh,actual_gco2_kwh,index
2026-05-10T14:00Z,2026-05-10T14:30Z,53,53,low
2026-05-10T14:30Z,2026-05-10T15:00Z,52,55,low
2026-05-10T15:00Z,2026-05-10T15:30Z,50,63,low
2026-05-10T15:30Z,2026-05-10T16:00Z,50,78,low
2026-05-10T16:00Z,2026-05-10T16:30Z,58,92,moderate
2026-05-10T16:30Z,2026-05-10T17:00Z,73,102,moderate
2026-05-10T17:00Z,2026-05-10T17:30Z,92,111,moderate
2026-05-10T17:30Z,2026-05-10T18:00Z,96,122,moderate
2026-05-10T18:00Z,2026-05-10T18:30Z,105,131,moderate
2026-05-10T18:30Z,2026-05-10T19:00Z,124,136,moderate
2026-05-10T19:00Z,2026-05-10T19:30Z,132,141,moderate
2026-05-10T19:30Z,2026-05-10T20:00Z,133,140,moderate
2026-05-10T20:00Z,2026-05-10T20:30Z,139,139,moderate
2026-05-10T20:30Z,2026-05-10T21:00Z,142,140,moderate
2026-05-10T21:00Z,2026-05-10T21:30Z,142,132,moderate
2026-05-10T21:30Z,2026-05-10T22:00Z,131,119,moderate
2026-05-10T22:00Z,2026-05-10T22:30Z,130,114,moderate
2026-05-10T22:30Z,2026-05-10T23:00Z,123,112,moderate
2026-05-10T23:00Z,2026-05-10T23:30Z,121,113,moderate
2026-05-10T23:30Z,2026-05-11T00:00Z,119,112,moderate
2026-05-11T00:00Z,2026-05-11T00:30Z,113,112,moderate
2026-05-11T00:30Z,2026-05-11T01:00Z,112,106,moderate
2026-05-11T01:00Z,2026-05-11T01:30Z,115,104,moderate
2026-05-11T01:30Z,2026-05-11T02:00Z,102,106,moderate
2026-05-11T02:00Z,2026-05-11T02:30Z,111,108,moderate
2026-05-11T02:30Z,2026-05-11T03:00Z,108,108,moderate
2026-05-11T03:00Z,2026-05-11T03:30Z,107,98,moderate
2026-05-11T03:30Z,2026-05-11T04:00Z,100,100,moderate
2026-05-11T04:00Z,2026-05-11T04:30Z,99,102,moderate
2026-05-11T04:30Z,2026-05-11T05:00Z,98,115,moderate
2026-05-11T05:00Z,2026-05-11T05:30Z,101,129,moderate
2026-05-11T05:30Z,2026-05-11T06:00Z,115,128,moderate
2026-05-11T06:00Z,2026-05-11T06:30Z,125,128,moderate
2026-05-11T06:30Z,2026-05-11T07:00Z,117,112,moderate
2026-05-11T07:00Z,2026-05-11T07:30Z,118,110,moderate
2026-05-11T07:30Z,2026-05-11T08:00Z,104,97,moderate
2026-05-11T08:00Z,2026-05-11T08:30Z,107,90,moderate
2026-05-11T08:30Z,2026-05-11T09:00Z,98,92,moderate
2026-05-11T09:00Z,2026-05-11T09:30Z,84,93,moderate
2026-05-11T09:30Z,2026-05-11T10:00Z,84,91,moderate
2026-05-11T10:00Z,2026-05-11T10:30Z,86,92,moderate
2026-05-11T10:30Z,2026-05-11T11:00Z,89,95,moderate
2026-05-11T11:00Z,2026-05-11T11:30Z,88,93,moderate
2026-05-11T11:30Z,2026-05-11T12:00Z,89,91,moderate
2026-05-11T12:00Z,2026-05-11T12:30Z,88,86,low
2026-05-11T12:30Z,2026-05-11T13:00Z,88,83,low
2026-05-11T13:00Z,2026-05-11T13:30Z,86,85,low
2026-05-11T13:30Z,2026-05-11T14:00Z,81,84,low
2026-05-11T14:00Z,2026-05-11T14:30Z,85,87,low
2026-05-11T14:30Z,2026-05-11T15:00Z,84,94,moderate
2026-05-11T15:00Z,2026-05-11T15:30Z,86,98,moderate
2026-05-11T15:30Z,2026-05-11T16:00Z,94,104,moderate
2026-05-11T16:00Z,2026-05-11T16:30Z,97,113,moderate
2026-05-11T16:30Z,2026-05-11T17:00Z,111,114,moderate
2026-05-11T17:00Z,2026-05-11T17:30Z,111,118,moderate
2026-05-11T17:30Z,2026-05-11T18:00Z,116,123,moderate
2026-05-11T18:00Z,2026-05-11T18:30Z,125,126,moderate
2026-05-11T18:30Z,2026-05-11T19:00Z,130,132,moderate
2026-05-11T19:00Z,2026-05-11T19:30Z,136,134,moderate
2026-05-11T19:30Z,2026-05-11T20:00Z,136,140,moderate
2026-05-11T20:00Z,2026-05-11T20:30Z,142,140,moderate
2026-05-11T20:30Z,2026-05-11T21:00Z,139,138,moderate
2026-05-11T21:00Z,2026-05-11T21:30Z,143,118,moderate
2026-05-11T21:30Z,2026-05-11T22:00Z,134,102,moderate
2026-05-11T22:00Z,2026-05-11T22:30Z,125,98,moderate
2026-05-11T22:30Z,2026-05-11T23:00Z,103,97,moderate
2026-05-11T23:00Z,2026-05-11T23:30Z,104,96,moderate
2026-05-11T23:30Z,2026-05-12T00:00Z,103,95,moderate
2026-05-12T00:00Z,2026-05-12T00:30Z,95,95,moderate
2026-05-12T00:30Z,2026-05-12T01:00Z,96,86,low
2026-05-12T01:00Z,2026-05-12T01:30Z,96,85,low
2026-05-12T01:30Z,2026-05-12T02:00Z,90,83,low
2026-05-12T02:00Z,2026-05-12T02:30Z,83,74,low
2026-05-12T02:30Z,2026-05-12T03:00Z,81,76,low
2026-05-12T03:00Z,2026-05-12T03:30Z,73,76,low
2026-05-12T03:30Z,2026-05-12T04:00Z,70,84,low
2026-05-12T04:00Z,2026-05-12T04:30Z,70,83,low
2026-05-12T04:30Z,2026-05-12T05:00Z,75,88,low
2026-05-12T05:00Z,2026-05-12T05:30Z,74,95,moderate
2026-05-12T05:30Z,2026-05-12T06:00Z,75,88,low
2026-05-12T06:00Z,2026-05-12T06:30Z,75,82,low
2026-05-12T06:30Z,2026-05-12T07:00Z,79,74,low
2026-05-12T07:00Z,2026-05-12T07:30Z,74,62,low
2026-05-12T07:30Z,2026-05-12T08:00Z,68,55,low
2026-05-12T08:00Z,2026-05-12T08:30Z,57,47,low
2026-05-12T08:30Z,2026-05-12T09:00Z,49,44,low
2026-05-12T09:00Z,2026-05-12T09:30Z,40,39,low
2026-05-12T09:30Z,2026-05-12T10:00Z,37,40,low
2026-05-12T10:00Z,2026-05-12T10:30Z,36,37,low
2026-05-12T10:30Z,2026-05-12T11:00Z,30,35,low
2026-05-12T11:00Z,2026-05-12T11:30Z,30,36,low
2026-05-12T11:30Z,2026-05-12T12:00Z,29,35,low
2026-05-12T12:00Z,2026-05-12T12:30Z,29,35,low
2026-05-12T12:30Z,2026-05-12T13:00Z,28,34,low
2026-05-12T13:00Z,2026-05-12T13:30Z,30,32,low
2026-05-12T13:30Z,2026-05-12T14:00Z,29,36,low
2026-05-12T14:00Z,2026-05-12T14:30Z,29,40,low
2026-05-12T14:30Z,2026-05-12T15:00Z,33,55,low
2026-05-12T15:00Z,2026-05-12T15:30Z,37,62,low
2026-05-12T15:30Z,2026-05-12T16:00Z,53,74,low
2026-05-12T16:00Z,2026-05-12T16:30Z,59,86,low
2026-05-12T16:30Z,2026-05-12T17:00Z,66,101,moderate
2026-05-12T17:00Z,2026-05-12T17:30Z,79,113,moderate
2026-05-12T17:30Z,2026-05-12T18:00Z,99,123,moderate
2026-05-12T18:00Z,2026-05-12T18:30Z,114,135,moderate
2026-05-12T18:30Z,2026-05-12T19:00Z,130,134,moderate
2026-05-12T19:00Z,2026-05-12T19:30Z,142,139,moderate
2026-05-12T19:30Z,2026-05-12T20:00Z,143,138,moderate
2026-05-12T20:00Z,2026-05-12T20:30Z,150,129,moderate
2026-05-12T20:30Z,2026-05-12T21:00Z,135,121,moderate
2026-05-12T21:00Z,2026-05-12T21:30Z,128,112,moderate
2026-05-12T21:30Z,2026-05-12T22:00Z,118,97,moderate
2026-05-12T22:00Z,2026-05-12T22:30Z,108,82,low
2026-05-12T22:30Z,2026-05-12T23:00Z,94,76,low
2026-05-12T23:00Z,2026-05-12T23:30Z,92,73,low
2026-05-12T23:30Z,2026-05-13T00:00Z,90,76,low
2026-05-13T00:00Z,2026-05-13T00:30Z,71,77,low
2026-05-13T00:30Z,2026-05-13T01:00Z,76,79,low
2026-05-13T01:00Z,2026-05-13T01:30Z,76,83,low
2026-05-13T01:30Z,2026-05-13T02:00Z,76,81,low
2026-05-13T02:00Z,2026-05-13T02:30Z,79,75,low
2026-05-13T02:30Z,2026-05-13T03:00Z,79,80,low
2026-05-13T03:00Z,2026-05-13T03:30Z,72,80,low
2026-05-13T03:30Z,2026-05-13T04:00Z,74,86,low
2026-05-13T04:00Z,2026-05-13T04:30Z,75,83,low
2026-05-13T04:30Z,2026-05-13T05:00Z,80,85,low
2026-05-13T05:00Z,2026-05-13T05:30Z,75,102,moderate
2026-05-13T05:30Z,2026-05-13T06:00Z,78,102,moderate
2026-05-13T06:00Z,2026-05-13T06:30Z,84,100,moderate
2026-05-13T06:30Z,2026-05-13T07:00Z,87,87,low
2026-05-13T07:00Z,2026-05-13T07:30Z,84,83,low
2026-05-13T07:30Z,2026-05-13T08:00Z,79,82,low
2026-05-13T08:00Z,2026-05-13T08:30Z,73,78,low
2026-05-13T08:30Z,2026-05-13T09:00Z,72,78,low
2026-05-13T09:00Z,2026-05-13T09:30Z,69,83,low
2026-05-13T09:30Z,2026-05-13T10:00Z,68,81,low
2026-05-13T10:00Z,2026-05-13T10:30Z,69,81,low
2026-05-13T10:30Z,2026-05-13T11:00Z,73,80,low
2026-05-13T11:00Z,2026-05-13T11:30Z,71,78,low
2026-05-13T11:30Z,2026-05-13T12:00Z,66,79,low
2026-05-13T12:00Z,2026-05-13T12:30Z,73,82,low
2026-05-13T12:30Z,2026-05-13T13:00Z,74,79,low
2026-05-13T13:00Z,2026-05-13T13:30Z,80,84,low
2026-05-13T13:30Z,2026-05-13T14:00Z,73,90,moderate
