_score,id,title,date_start,date_end,medium_display,artist_title,place_of_origin
3.0000107,269320,"Nature's Revenge: NYC 2050, View from Lower East Side",2022,2022,Pen and brush and black ink and wash with white glossy opaque paint over graphite on white wove paper,James N. Wines,United States
3.0000107,269321,Friction Ridge Bench,2023,2023,Bronze,Nifemi Marcus-Bello,Nigeria
3.0000107,269664,"The Brown Sisters, Natick, Massachusetts",2022,2022,Gelatin silver print,Nicholas Nixon,
3.0000107,269668,"Beauty, Strength and Resilience – We Are Still Here",2023,2023,"Buffalo horn inlaid with coral, gold mother of pearl, lapis, shell, and resin",Kevin and Valerie Pourier,Scenic
3.0000107,269848,Cues On Point,2022,2022,"2-channel video, color, sound, 4 min. 21 sec.",Christine Sun Kim,United States
3.0000107,269943,Manifesto of Photosynthesism,2022,2022,Offset lithographs in green ink on gray wove paper,Michael Wang,United States
3.0000107,269968,Showtime,2022,2022,"Mixed media on canvas, wood",Andy Robert,Haiti
3.0000107,269981,Sharifa,2022,2022,Bronze,Simone Leigh,United States
3.0000107,270327,Clout Chasin',2023,2023,Cotton; woven on a Jacquard power loom; hand applied glass beads,Qualeasha Wood,United States
3.0000107,270337,NA.0001,2022,2022,Graphite and pastel on cream wove paper,Patrick Dean Hubbell,Navajo
3.0000107,270338,C. 0005,2022,2022,Red and orange pastel over black felt-tip pen on cream wove paper,Patrick Dean Hubbell,Navajo
3.0000107,270339,NA. 0004,2023,2023,Green and black pastel on cream wove paper,Patrick Dean Hubbell,Navajo
