year,stateabbr,state,county,measure,data_value,low_confidence_limit,high_confidence_limit
2023,AK,Alaska,Aleutians West,Taking medicine to control high blood pressure among adults with high blood pressure,62.4,59.1,65.5
2023,AK,Alaska,Aleutians West,Received food stamps in the past 12 months among adults,17.6,14.9,20.7
2023,AK,Alaska,Aleutians West,Independent living disability among adults,5.9,5.2,6.6
2023,AK,Alaska,Aleutians West,Food insecurity in the past 12 months among adults,25.3,21.8,29.7
2023,AK,Alaska,Aleutians West,Obesity among adults,32.0,25.5,38.9
2023,AK,Alaska,Aleutians West,High cholesterol among adults who have ever been screened,32.7,28.7,37.0
2023,AK,Alaska,Aleutians West,No leisure-time physical activity among adults,24.2,20.1,28.6
2023,AK,Alaska,Aleutians West,Frequent mental distress among adults,13.7,12.0,15.4
2023,AK,Alaska,Aleutians West,Arthritis among adults,15.2,13.0,17.6
2023,AK,Alaska,Aleutians West,Current asthma among adults,11.3,9.9,12.7
2023,AK,Alaska,Aleutians West,Vision disability among adults,4.3,3.9,4.7
2023,AK,Alaska,Aleutians West,Fair or poor self-rated health status among adults,23.8,20.8,27.1
2023,AK,Alaska,Aleutians West,Arthritis among adults,19.2,16.8,21.8
2023,AK,Alaska,Aleutians West,Current asthma among adults,8.0,7.1,9.0
2023,AK,Alaska,Aleutians West,Stroke among adults,2.3,2.1,2.6
2023,AK,Alaska,Aleutians West,Housing insecurity in the past 12 months among adults,19.2,16.7,22.2
2023,AK,Alaska,Aleutians West,Frequent physical distress among adults,15.2,13.4,17.1
2023,AK,Alaska,Aleutians West,Visits to doctor for routine checkup within the past year among adults,62.8,57.9,67.5
2023,AK,Alaska,Aleutians West,Self-care disability among adults,2.9,2.6,3.2
2023,AK,Alaska,Aleutians West,Chronic obstructive pulmonary disease among adults,4.1,3.5,4.6
2023,AK,Alaska,Aleutians West,Cholesterol screening among adults,69.2,65.6,72.9
2023,AK,Alaska,Aleutians West,Diagnosed diabetes among adults,11.4,9.9,12.9
2023,AK,Alaska,Aleutians West,Depression among adults,19.5,16.3,22.8
2023,AK,Alaska,Aleutians West,Utility services shut-off threat in the past 12 months among adults,13.5,11.9,15.5
2023,AK,Alaska,Aleutians West,Stroke among adults,3.5,3.2,3.8
2023,AK,Alaska,Aleutians West,Cognitive disability among adults,18.7,16.1,21.4
2023,AK,Alaska,Aleutians West,Frequent physical distress among adults,11.2,9.8,12.7
2023,AK,Alaska,Aleutians West,Binge drinking among adults,19.3,16.0,23.0
2023,AK,Alaska,Aleutians West,Utility services shut-off threat in the past 12 months among adults,7.9,6.8,9.2
2023,AK,Alaska,Aleutians West,Depression among adults,14.3,12.0,16.9
2023,AK,Alaska,Aleutians West,Fair or poor self-rated health status among adults,17.5,15.0,20.1
2023,AK,Alaska,Aleutians West,Any disability among adults,23.2,19.7,27.0
2023,AK,Alaska,Aleutians West,Lack of social and emotional support among adults,32.3,28.0,36.9
2023,AK,Alaska,Aleutians West,Received food stamps in the past 12 months among adults,9.0,7.5,10.8
2023,AK,Alaska,Aleutians West,Cognitive disability among adults,12.2,10.6,13.8
2023,AK,Alaska,Aleutians West,Cancer (non-skin) or melanoma among adults,4.5,4.1,5.0
2023,AK,Alaska,Aleutians West,Mobility disability among adults,13.7,11.9,15.6
2023,AK,Alaska,Aleutians West,Visits to doctor for routine checkup within the past year among adults,61.8,57.1,66.3
2023,AK,Alaska,Aleutians West,Loneliness among adults,37.2,31.8,42.6
2023,AK,Alaska,Aleutians West,Current cigarette smoking among adults,22.2,19.3,25.4
2023,AK,Alaska,Aleutians West,Hearing disability among adults,5.4,4.7,6.1
2023,AK,Alaska,Aleutians West,Mobility disability among adults,8.9,7.6,10.3
2023,AK,Alaska,Aleutians West,High blood pressure among adults,29.2,25.3,33.2
2023,AK,Alaska,Aleutians West,Food insecurity in the past 12 months among adults,16.2,13.6,18.9
2023,AK,Alaska,Aleutians West,Binge drinking among adults,21.6,18.0,25.5
2023,AK,Alaska,Aleutians West,Cholesterol screening among adults,77.6,74.8,80.3
2023,AK,Alaska,Aleutians West,Current lack of health insurance among adults aged 18-64 years,13.5,11.1,16.7
2023,AK,Alaska,Aleutians West,Housing insecurity in the past 12 months among adults,13.3,11.4,15.5
2023,AK,Alaska,Aleutians West,Current lack of health insurance among adults aged 18-64 years,12.3,10.4,14.6
2023,AK,Alaska,Aleutians West,Obesity among adults,38.3,31.1,45.9
2023,AK,Alaska,Aleutians West,Any disability among adults,34.6,30.0,39.7
2023,AK,Alaska,Aleutians West,Diagnosed diabetes among adults,10.0,8.7,11.5
2023,AK,Alaska,Aleutians West,Current cigarette smoking among adults,16.0,13.5,18.6
2023,AK,Alaska,Aleutians West,Vision disability among adults,7.2,6.5,8.0
2023,AK,Alaska,Aleutians West,Cancer (non-skin) or melanoma among adults,3.7,3.3,4.1
