date,respondent,respondent_name,type,type_name,value,unit
2021-10-01,CAL,California,D,Demand,777896,megawatthours
2021-10-01,CAL,California,D,Demand,778528,megawatthours
2021-10-01,CAL,California,DF,Day-ahead demand forecast,748746,megawatthours
2021-10-01,CAL,California,DF,Day-ahead demand forecast,748939,megawatthours
2021-10-01,CAL,California,DF,Day-ahead demand forecast,749197,megawatthours
2021-10-01,CAL,California,DF,Day-ahead demand forecast,748765,megawatthours
2021-10-01,CAL,California,DF,Day-ahead demand forecast,748746,megawatthours
2021-10-01,CAL,California,NG,Net generation,581829,megawatthours
2021-10-01,CAL,California,NG,Net generation,579476,megawatthours
2021-10-01,CAL,California,NG,Net generation,578968,megawatthours
2021-10-01,CAL,California,NG,Net generation,580321,megawatthours
2021-10-01,CAL,California,NG,Net generation,581829,megawatthours
2021-10-01,CAL,California,TI,Total interchange,-182130,megawatthours
2021-10-01,CAL,California,TI,Total interchange,-182349,megawatthours
2021-10-01,CAL,California,TI,Total interchange,-182339,megawatthours
2021-10-01,CAL,California,TI,Total interchange,-182472,megawatthours
2021-10-01,CAL,California,TI,Total interchange,-182130,megawatthours
2021-10-02,CAL,California,D,Demand,745968,megawatthours
2021-10-02,CAL,California,D,Demand,747058,megawatthours
2021-10-02,CAL,California,D,Demand,747730,megawatthours
2021-10-02,CAL,California,D,Demand,746436,megawatthours
2021-10-02,CAL,California,D,Demand,745968,megawatthours
2021-10-02,CAL,California,DF,Day-ahead demand forecast,720010,megawatthours
2021-10-02,CAL,California,DF,Day-ahead demand forecast,720365,megawatthours
2021-10-02,CAL,California,DF,Day-ahead demand forecast,721049,megawatthours
2021-10-02,CAL,California,DF,Day-ahead demand forecast,720109,megawatthours
2021-10-02,CAL,California,DF,Day-ahead demand forecast,720010,megawatthours
2021-10-02,CAL,California,NG,Net generation,560891,megawatthours
2021-10-02,CAL,California,NG,Net generation,562050,megawatthours
2021-10-02,CAL,California,NG,Net generation,563378,megawatthours
2021-10-02,CAL,California,NG,Net generation,561347,megawatthours
2021-10-02,CAL,California,NG,Net generation,560891,megawatthours
2021-10-02,CAL,California,TI,Total interchange,-166992,megawatthours
2021-10-02,CAL,California,TI,Total interchange,-166688,megawatthours
2021-10-02,CAL,California,TI,Total interchange,-166627,megawatthours
2021-10-02,CAL,California,TI,Total interchange,-167031,megawatthours
2021-10-02,CAL,California,TI,Total interchange,-166992,megawatthours
2021-10-03,CAL,California,D,Demand,733744,megawatthours
2021-10-03,CAL,California,D,Demand,734441,megawatthours
2021-10-03,CAL,California,D,Demand,733932,megawatthours
2021-10-03,CAL,California,D,Demand,734146,megawatthours
2021-10-03,CAL,California,D,Demand,733744,megawatthours
2021-10-03,CAL,California,DF,Day-ahead demand forecast,723668,megawatthours
2021-10-03,CAL,California,DF,Day-ahead demand forecast,723178,megawatthours
