date,base,quote,rate
2021-09-10,USD,KRW,1165.91
2021-09-13,USD,KRW,1174.65
2021-09-14,USD,KRW,1170.36
2021-09-15,USD,KRW,1167.77
2021-09-16,USD,KRW,1173.54
2021-09-17,USD,KRW,1176.79
2021-09-20,USD,KRW,1189.75
2021-09-21,USD,KRW,1183.21
2021-09-22,USD,KRW,1183.28
2021-09-23,USD,KRW,1173.48
2021-09-24,USD,KRW,1179.74
2021-09-27,USD,KRW,1181.43
2021-09-28,USD,KRW,1186.34
2021-09-29,USD,KRW,1185.17
2021-09-30,USD,KRW,1184.54
2021-10-01,USD,KRW,1182.17
2021-10-04,USD,KRW,1179.53
2021-10-05,USD,KRW,1186.11
2021-10-06,USD,KRW,1195.56
2021-10-07,USD,KRW,1189.99
2021-10-08,USD,KRW,1194.4
2021-10-11,USD,KRW,1195.29
2021-10-12,USD,KRW,1197.23
2021-10-13,USD,KRW,1191.95
2021-10-14,USD,KRW,1185.58
2021-10-15,USD,KRW,1181.87
2021-10-18,USD,KRW,1187.44
2021-10-19,USD,KRW,1178.0
2021-10-20,USD,KRW,1173.8
2021-10-21,USD,KRW,1177.79
2021-10-22,USD,KRW,1176.6
2021-10-25,USD,KRW,1169.78
2021-10-26,USD,KRW,1165.53
2021-10-27,USD,KRW,1171.08
2021-10-28,USD,KRW,1171.13
2021-10-29,USD,KRW,1170.39
2021-11-01,USD,KRW,1177.99
2021-11-02,USD,KRW,1175.53
2021-11-03,USD,KRW,1182.46
2021-11-04,USD,KRW,1183.62
2021-11-05,USD,KRW,1186.52
2021-11-08,USD,KRW,1181.9
2021-11-09,USD,KRW,1176.88
2021-11-10,USD,KRW,1178.91
2021-11-11,USD,KRW,1180.74
2021-11-12,USD,KRW,1178.46
2021-11-15,USD,KRW,1179.97
2021-11-16,USD,KRW,1181.39
2021-11-17,USD,KRW,1181.88
2021-11-18,USD,KRW,1183.13
2021-11-19,USD,KRW,1193.01
2021-11-22,USD,KRW,1187.02
