location,latitude,longitude,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
Seoul,37.57469,126.96,2025-01-30,-1.4,-8.8,-5.1,0.0,9.6
Seoul,37.57469,126.96,2025-01-31,-0.2,-3.9,-1.9,2.1,6.0
Seoul,37.57469,126.96,2025-02-01,7.1,-4.7,0.3,0.0,7.7
Seoul,37.57469,126.96,2025-02-02,5.1,-3.7,0.0,0.0,9.0
Seoul,37.57469,126.96,2025-02-03,-0.9,-9.1,-5.4,0.0,20.9
Seoul,37.57469,126.96,2025-02-04,-6.7,-13.6,-10.2,0.0,21.1
Seoul,37.57469,126.96,2025-02-05,-4.6,-11.9,-9.1,0.0,22.8
Seoul,37.57469,126.96,2025-02-06,-1.1,-11.6,-6.5,1.0,16.9
Seoul,37.57469,126.96,2025-02-07,-8.3,-11.9,-9.7,0.9,25.8
Seoul,37.57469,126.96,2025-02-08,-4.2,-12.8,-9.0,0.0,17.2
Seoul,37.57469,126.96,2025-02-09,-0.9,-11.3,-6.7,0.0,11.4
Seoul,37.57469,126.96,2025-02-10,0.3,-9.6,-5.1,0.2,12.2
Seoul,37.57469,126.96,2025-02-11,4.6,-8.1,-2.1,0.0,7.6
Seoul,37.57469,126.96,2025-02-12,2.3,-3.8,-0.4,2.3,21.1
Seoul,37.57469,126.96,2025-02-13,4.1,-7.0,-1.3,0.0,16.6
Seoul,37.57469,126.96,2025-02-14,7.9,-2.4,1.6,0.0,10.7
Seoul,37.57469,126.96,2025-02-15,6.4,-2.8,1.2,0.0,12.4
Seoul,37.57469,126.96,2025-02-16,8.5,-1.4,2.4,0.0,17.4
Seoul,37.57469,126.96,2025-02-17,1.8,-4.0,-1.6,0.0,18.5
Seoul,37.57469,126.96,2025-02-18,0.9,-5.4,-3.0,0.0,19.8
Seoul,37.57469,126.96,2025-02-19,0.2,-6.9,-3.8,0.0,16.5
Seoul,37.57469,126.96,2025-02-20,1.0,-6.3,-3.4,0.0,16.4
Seoul,37.57469,126.96,2025-02-21,1.6,-6.3,-3.2,0.0,16.1
Seoul,37.57469,126.96,2025-02-22,1.5,-5.9,-3.0,0.0,13.9
Seoul,37.57469,126.96,2025-02-23,0.1,-6.3,-3.9,0.0,19.6
Seoul,37.57469,126.96,2025-02-24,3.5,-5.7,-2.1,0.0,13.6
Seoul,37.57469,126.96,2025-02-25,5.5,-2.8,1.1,0.1,22.2
Seoul,37.57469,126.96,2025-02-26,7.1,-3.5,1.4,0.0,15.2
Seoul,37.57469,126.96,2025-02-27,10.6,-2.9,2.9,0.0,7.3
Seoul,37.57469,126.96,2025-02-28,9.4,0.8,4.5,0.0,7.8
Seoul,37.57469,126.96,2025-03-01,10.4,-0.6,3.9,2.6,9.1
Seoul,37.57469,126.96,2025-03-02,12.1,1.5,5.2,15.2,23.5
Seoul,37.57469,126.96,2025-03-03,4.8,-0.7,1.5,9.8,23.0
Seoul,37.57469,126.96,2025-03-04,2.7,-0.4,1.1,3.3,17.7
Seoul,37.57469,126.96,2025-03-05,6.6,0.9,2.9,0.0,10.9
Seoul,37.57469,126.96,2025-03-06,8.9,-1.9,3.1,0.0,11.5
Seoul,37.57469,126.96,2025-03-07,8.3,-2.6,2.7,0.0,8.1
Seoul,37.57469,126.96,2025-03-08,8.6,0.7,4.1,0.0,11.4
Seoul,37.57469,126.96,2025-03-09,10.2,-1.9,3.9,0.0,7.2
Seoul,37.57469,126.96,2025-03-10,12.2,-1.0,5.1,0.0,12.8
Seoul,37.57469,126.96,2025-03-11,13.1,-0.4,6.2,0.0,9.1
Seoul,37.57469,126.96,2025-03-12,10.8,3.5,6.8,0.1,15.6
Seoul,37.57469,126.96,2025-03-13,13.6,1.1,7.2,0.0,10.4
Seoul,37.57469,126.96,2025-03-14,16.9,3.2,10.0,0.0,10.1
Seoul,37.57469,126.96,2025-03-15,15.1,4.9,9.6,0.4,16.3
Seoul,37.57469,126.96,2025-03-16,7.8,0.3,4.4,1.3,24.1
Seoul,37.57469,126.96,2025-03-17,4.9,-3.5,0.9,0.3,15.1
Seoul,37.57469,126.96,2025-03-18,4.1,-1.6,0.8,2.8,18.6
Seoul,37.57469,126.96,2025-03-19,5.3,-3.8,0.7,0.0,13.8
Seoul,37.57469,126.96,2025-03-20,13.1,-1.2,5.2,0.0,17.2
Seoul,37.57469,126.96,2025-03-21,15.6,3.0,8.4,0.0,13.4
Seoul,37.57469,126.96,2025-03-22,17.0,4.6,10.1,0.0,15.0
Seoul,37.57469,126.96,2025-03-23,21.3,4.3,12.1,0.0,11.9
Seoul,37.57469,126.96,2025-03-24,18.6,9.2,12.8,0.8,16.8
Seoul,37.57469,126.96,2025-03-25,20.4,7.2,10.7,0.3,26.5
Seoul,37.57469,126.96,2025-03-26,22.9,3.6,13.0,0.0,10.3
Seoul,37.57469,126.96,2025-03-27,19.6,7.2,13.0,5.1,19.2
Seoul,37.57469,126.96,2025-03-28,11.1,2.2,6.2,0.0,21.8
Seoul,37.57469,126.96,2025-03-29,6.4,-1.0,2.2,2.4,23.5
Seoul,37.57469,126.96,2025-03-30,6.2,-3.0,1.8,0.4,21.2
Seoul,37.57469,126.96,2025-03-31,11.9,-0.9,5.2,0.0,12.7
Seoul,37.57469,126.96,2025-04-01,15.1,1.4,8.0,0.0,10.0
Seoul,37.57469,126.96,2025-04-02,13.4,2.8,7.0,0.8,15.8
Seoul,37.57469,126.96,2025-04-03,15.4,1.4,8.0,0.0,15.0
Seoul,37.57469,126.96,2025-04-04,14.4,4.6,9.2,0.0,12.5
Seoul,37.57469,126.96,2025-04-05,9.0,5.4,7.1,14.4,9.3
Seoul,37.57469,126.96,2025-04-06,13.6,4.2,8.2,0.0,16.0
Seoul,37.57469,126.96,2025-04-07,18.8,3.3,10.8,0.0,15.1
Seoul,37.57469,126.96,2025-04-08,17.7,6.5,12.0,0.0,15.8
Seoul,37.57469,126.96,2025-04-09,17.0,5.7,10.6,0.8,13.5
Seoul,37.57469,126.96,2025-04-10,18.9,5.3,11.6,0.2,11.7
Seoul,37.57469,126.96,2025-04-11,22.7,6.1,14.4,0.0,9.1
Seoul,37.57469,126.96,2025-04-12,23.4,1.6,13.7,14.6,18.3
Seoul,37.57469,126.96,2025-04-13,6.8,1.0,4.1,9.7,29.2
Seoul,37.57469,126.96,2025-04-14,8.4,2.0,4.5,11.8,16.9
Seoul,37.57469,126.96,2025-04-15,12.8,0.0,6.2,0.0,16.5
Seoul,37.57469,126.96,2025-04-16,20.4,4.0,11.7,0.1,12.2
Seoul,37.57469,126.96,2025-04-17,23.1,11.7,17.1,0.1,17.2
Seoul,37.57469,126.96,2025-04-18,21.3,12.8,16.0,0.0,11.7
