date,gamePk,gameDate,season,gameType,status,away_team,home_team,away_score,home_score
2022-04-14,661312,2022-04-14T23:05:00Z,2022,R,Final,Toronto Blue Jays,New York Yankees,0,3
2022-04-14,661993,2022-04-15T00:05:00Z,2022,R,Final,Los Angeles Angels,Texas Rangers,5,10
2022-04-14,662702,2022-04-15T00:10:00Z,2022,R,Final,Detroit Tigers,Kansas City Royals,4,2
2022-04-14,662237,2022-04-15T00:10:00Z,2022,R,Final,Atlanta Braves,San Diego Padres,1,12
2022-04-14,662950,2022-04-15T00:40:00Z,2022,R,Final,Chicago Cubs,Colorado Rockies,5,2
2022-04-14,662627,2022-04-15T02:10:00Z,2022,R,Final,Cincinnati Reds,Los Angeles Dodgers,3,9
2022-04-15,662485,2022-04-15T17:10:00Z,2022,R,Final,Arizona Diamondbacks,New York Mets,3,10
2022-04-15,663265,2022-04-15T18:10:00Z,2022,R,Final,Minnesota Twins,Boston Red Sox,8,4
2022-04-15,662291,2022-04-15T22:35:00Z,2022,R,Final,Washington Nationals,Pittsburgh Pirates,7,2
2022-04-15,661417,2022-04-15T22:40:00Z,2022,R,Final,Philadelphia Phillies,Miami Marlins,1,7
2022-04-15,663357,2022-04-15T23:05:00Z,2022,R,Final,New York Yankees,Baltimore Orioles,1,2
2022-04-15,661792,2022-04-15T23:07:00Z,2022,R,Final,Oakland Athletics,Toronto Blue Jays,1,4
2022-04-15,663136,2022-04-15T23:10:00Z,2022,R,Final,San Francisco Giants,Cleveland Guardians,4,1
2022-04-15,661528,2022-04-15T23:10:00Z,2022,R,Final,Tampa Bay Rays,Chicago White Sox,2,3
2022-04-15,662014,2022-04-16T00:05:00Z,2022,R,Final,Los Angeles Angels,Texas Rangers,9,6
2022-04-15,662701,2022-04-16T00:10:00Z,2022,R,Final,Detroit Tigers,Kansas City Royals,2,1
2022-04-15,661267,2022-04-16T00:10:00Z,2022,R,Final,St. Louis Cardinals,Milwaukee Brewers,10,1
2022-04-15,662960,2022-04-16T00:40:00Z,2022,R,Final,Chicago Cubs,Colorado Rockies,5,6
2022-04-15,662236,2022-04-16T01:40:00Z,2022,R,Final,Atlanta Braves,San Diego Padres,5,2
2022-04-15,662192,2022-04-16T01:42:00Z,2022,R,Final,Houston Astros,Seattle Mariners,1,11
2022-04-15,662620,2022-04-16T02:10:00Z,2022,R,Final,Cincinnati Reds,Los Angeles Dodgers,1,3
2022-04-16,662626,2022-04-16T17:10:00Z,2022,R,Final,Arizona Diamondbacks,New York Mets,3,2
2022-04-16,661527,2022-04-16T18:10:00Z,2022,R,Final,Tampa Bay Rays,Chicago White Sox,2,3
2022-04-16,661759,2022-04-16T19:07:00Z,2022,R,Final,Oakland Athletics,Toronto Blue Jays,7,5
2022-04-16,662235,2022-04-16T20:05:00Z,2022,R,Final,Atlanta Braves,San Diego Padres,5,2
